smiles,pic50,scaffold,n_measurements
CC(=O)NCCNCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccnc1,6.26,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1
CC(=O)NCCNCc1cc(Cl)c(Oc2ncnc3c(-c4ccccc4)cccc23)cc1OCc1cncc(C#N)c1,6.73,c1ccc(-c2cccc3c(Oc4cccc(OCc5cccnc5)c4)ncnc23)cc1,1
CC(=O)NCCNCc1cc([N+](=O)[O-])c(OCc2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,8.09,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1
CC(=O)NCCNCc1ccc(-c2cccc(-c3ccccc3)c2C)nc1,7.28,c1ccc(-c2cccc(-c3ccccn3)c2)cc1,1
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1,6.21,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1C,6.34,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1Cl,6.23,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1O,6.22,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1cccc(C#N)c1,5.97,O=C(c1cccc(OCc2ccccc2)c1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1ccnc(C#N)c1,6.51,O=C(c1cccc(OCc2ccncc2)c1)N1CCc2c(-c3ccccc3)cccc21,1
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)nc1,6.55,O=C(Nc1ccccn1)c1cccc(-c2ccc3c(c2)OCCO3)c1,1
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1,6.3,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1
