chembl_id,stereo_id,conf_id,smiles,source_file,canon_smiles,pred_pIC50
CHEMBL3238168,0,14,Cc1n[nH]c2ccc(-c3cncc(N4CCCNCC4)n3)cc12,t1_f5_p3,Cc1n[nH]c2ccc(-c3cncc(N4CCCNCC4)n3)cc12,6.162139892578125
CHEMBL520924,0,6,CN1CCN(C(=O)c2cccc(-c3nc4cccc5c4n3CCNC5=O)c2)CC1,t1_f5_p3,CN1CCN(C(=O)c2cccc(-c3nc4cccc5c4n3CCNC5=O)c2)CC1,6.492165565490723
CHEMBL3222188,0,3,Cn1ccc2cc(-c3ccc4oc(N5CCNCC5)nc4c3)ccc21,t1_f5_p3,Cn1ccc2cc(-c3ccc4oc(N5CCNCC5)nc4c3)ccc21,6.132229804992676
CHEMBL3193157,0,0,Nc1ccc(C(=O)N/N=C2\CCCc3c2[nH]c2ccccc32)cc1,t1_f5_p3,Nc1ccc(C(=O)N/N=C2\CCCc3c2[nH]c2ccccc32)cc1,6.356543064117432
CHEMBL1335319,0,1,CCN1CCN(CCCNC(=O)c2cc3cc4ccc(OC)cc4nc3o2)CC1,t1_f5_p3,CCN1CCN(CCCNC(=O)c2cc3cc4ccc(OC)cc4nc3o2)CC1,6.661095142364502
CHEMBL3479625,0,0,CN1CC[C@H]2CN(C(=O)c3ccc4sc5c(c4c3)CCNC5=O)C[C@H]21,t1_f5_p3,CN1CC[C@H]2CN(C(=O)c3ccc4sc5c(c4c3)CCNC5=O)C[C@H]21,6.140509128570557
CHEMBL2385688,0,1,CCCOc1ccc(-c2cc(OCCN3CCNCC3)c3ccccc3n2)cc1,t1_f5_p3,CCCOc1ccc(-c2cc(OCCN3CCNCC3)c3ccccc3n2)cc1,6.410919666290283
CHEMBL1888507,0,24,CN(C)CCNC(=O)c1cccc(-c2cnc3c(NC=O)cc(-c4ccc(F)cc4)cn23)c1,t1_f5_p3,CN(C)CCNC(=O)c1cccc(-c2cnc3c(NC=O)cc(-c4ccc(F)cc4)cn23)c1,6.262424945831299
CHEMBL3959856,0,0,CCC1CC(=O)NN=C1c1ccc2nc(-c3ccc(OC(C)CN4CCOCC4)cc3)oc2c1,t1_f5_p3,CCC1CC(=O)NN=C1c1ccc2nc(-c3ccc(OC(C)CN4CCOCC4)cc3)oc2c1,6.710644721984863
CHEMBL3972468,0,2,C[C@H]1CN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)CCO1,t1_f5_p3,C[C@H]1CN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)CCO1,6.7298054695129395
CHEMBL3922089,1,13,CC1CN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)CC(C)O1,t1_f5_p3,CC1CN(Cc2ccc3c(-c4ccc(F)cc4)cc(C(N)=O)nc3c2)CC(C)O1,6.631369113922119
CHEMBL3898121,0,43,NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CN3CCOC(C(F)(F)F)C3)cc2n1,t1_f5_p3,NC(=O)c1cc(-c2ccc(F)cc2)c2ccc(CN3CCOC(C(F)(F)F)C3)cc2n1,6.997742176055908
CHEMBL78768,0,2,CN1CCC[C@@H]1Cc1c[nH]c2ccc(-n3cnc4cc(C#N)cnc43)cc12,t1_f5_p3,CN1CCC[C@@H]1Cc1c[nH]c2ccc(-n3cnc4cc(C#N)cnc43)cc12,6.586903095245361
CHEMBL228832,0,37,O=C1/C(=N\NC(=S)NCc2ccccc2)c2cc(F)ccc2N1CN1CCOCC1,t1_f5_p3,O=C1/C(=N\NC(=S)NCc2ccccc2)c2cc(F)ccc2N1CN1CCOCC1,6.716582298278809
CHEMBL3976065,0,1,COC1CCC2(CC1)Cc1ccc(-c3cncc(F)c3)cc1C21N=C(N)N(C(C)C)C1=O,t1_f5_p3,COC1CCC2(CC1)Cc1ccc(-c3cncc(F)c3)cc1C21N=C(N)N(C(C)C)C1=O,6.7983551025390625
CHEMBL306808,0,22,OC1=NCCN1CCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,t1_f5_p3,OC1=NCCN1CCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(F)cc32)CC1,6.403256893157959
CHEMBL3355137,0,0,Cc1ccc(-c2cc3c(cc2[C@@H]2CCN(C)C[C@@H]2C)N2C(=NNC(=O)[C@H]2C)CO3)c(F)c1,t1_f5_p3,Cc1ccc(-c2cc3c(cc2[C@@H]2CCN(C)C[C@@H]2C)N2C(=NNC(=O)[C@H]2C)CO3)c(F)c1,6.878139495849609
CHEMBL3355129,0,0,C[C@@H]1C(=O)NN=C2COc3cc(-c4ccc(F)cc4)c([C@@H]4CCN(C)C[C@@H]4C)cc3N21,t1_f5_p3,C[C@@H]1C(=O)NN=C2COc3cc(-c4ccc(F)cc4)c([C@@H]4CCN(C)C[C@@H]4C)cc3N21,6.77924919128418
CHEMBL3355128,0,0,C[C@@H]1C(=O)NN=C2COc3cc(-c4cccc(F)c4)c([C@@H]4CCN(C)C[C@@H]4C)cc3N21,t1_f5_p3,C[C@@H]1C(=O)NN=C2COc3cc(-c4cccc(F)c4)c([C@@H]4CCN(C)C[C@@H]4C)cc3N21,6.959015846252441
CHEMBL3355131,0,0,Cc1ccc(-c2cc3c(cc2[C@@H]2CCN(C)C[C@@H]2C)N2C(=NNC(=O)[C@H]2C)CO3)cc1,t1_f5_p3,Cc1ccc(-c2cc3c(cc2[C@@H]2CCN(C)C[C@@H]2C)N2C(=NNC(=O)[C@H]2C)CO3)cc1,6.6083831787109375
CHEMBL1082151,0,7,Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,t1_f5_p3,Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,6.514374256134033
CHEMBL483953,0,9,CN1CCN(CCCn2c3ccc(O)cc3c3c4c(ccc32)C(=O)NC4=O)CC1,t1_f5_p3,CN1CCN(CCCn2c3ccc(O)cc3c3c4c(ccc32)C(=O)NC4=O)CC1,6.338151454925537
CHEMBL605130,0,14,CC(=O)N1CCN(CC(C)NC(=O)c2cc3c(-c4ccccc4F)nn(C)c3s2)CC1,t1_f5_p3,CC(=O)N1CCN(CC(C)NC(=O)c2cc3c(-c4ccccc4F)nn(C)c3s2)CC1,6.7432169914245605
CHEMBL1501929,0,0,O=C(C1=C(O)C(=O)N(CCCN2CCOCC2)C1c1ccc(Cl)cc1)c1ccc(F)cc1,t1_f5_p3,O=C(C1=C(O)C(=O)N(CCCN2CCOCC2)C1c1ccc(Cl)cc1)c1ccc(F)cc1,6.838311195373535
CHEMBL3697184,0,0,O=C(c1ccccc1-c1ccc(-c2cnc3[nH]ccc3n2)c(F)c1)N1CCOCC1,t1_f5_p3,O=C(c1ccccc1-c1ccc(-c2cnc3[nH]ccc3n2)c(F)c1)N1CCOCC1,6.73382043838501
