smiles,pic50,scaffold,n_measurements,logS,substructure_match,generalized_match
CC(=O)NCCNCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,6.76,O=C(c1cccs1)N1CCc2c(-c3ccccc3)cccc21,1,-3.5887465476989746,0,0
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccc4c(c3)OCCO4)c2Cl)nc1,6.55,O=C(Nc1ccccn1)c1cccc(-c2ccc3c(c2)OCCO3)c1,1,-4.747211456298828,0,0
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1,6.3,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1,-4.485196113586426,0,0
CC(=O)NCCNCc1ccc(NC(=O)c2cccc(-c3ccccc3)c2Cl)nc1F,6.24,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1,-4.731292724609375,0,0
CC(=O)NCCNCc1ccc(OC(=O)c2cccc(-c3ccccc3)c2C)cc1OCc1cccc(C#N)c1,6.3,O=C(Oc1cccc(OCc2ccccc2)c1)c1cccc(-c2ccccc2)c1,1,-7.182457447052002,0,0
CC(=O)NCCNCc1ccc(OCc2ccc(COc3ccc(CNCCNC(C)=O)c(OCc4cncc(C#N)c4)c3)c3ccccc23)cc1OCc1cncc(C#N)c1,6.33,c1cncc(COc2cccc(OCc3ccc(COc4cccc(OCc5cccnc5)c4)c4ccccc34)c2)c1,1,-7.152773857116699,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3cc(F)ccc3F)c2CF)cc1OCc1cncc(C#N)c1,7.0,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.933953285217285,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2Br)cc1OCc1cccc(C#N)c1,6.57,c1ccc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)cc1,1,-7.417456150054932,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2C(F)F)cc1OCc1cncc(C#N)c1,7.76,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1,-6.936156272888184,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccc4c(c3)OCCO4)c2CF)cc1OCc1cncc(C#N)c1,7.6,c1cncc(COc2cccc(OCc3cccc(-c4ccc5c(c4)OCCO5)c3)c2)c1,1,-6.408456802368164,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2Br)cc1OCc1cccc(C#N)c1,6.36,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.603320598602295,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2C)c([N+](=O)[O-])c1,7.88,c1ccc(OCc2cccc(-c3ccccc3)c2)cc1,1,-5.6153435707092285,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3)c2C)nc1,6.96,c1ccc(-c2cccc(COc3ccccn3)c2)cc1,1,-3.835844039916992,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2C(F)F)cc1OCc1cncc(C#N)c1,7.0,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-7.4541239738464355,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2CF)cc1OCc1cccc(C#N)c1,7.0,c1ccc(COc2cccc(OCc3cccc(-c4ccccc4)c3)c2)cc1,1,-7.491617202758789,0,0
CC(=O)NCCNCc1ccc(OCc2cccc(-c3ccccc3F)c2CF)cc1OCc1cncc(C#N)c1,7.5,c1ccc(-c2cccc(COc3cccc(OCc4cccnc4)c3)c2)cc1,1,-6.9870452880859375,0,0
CC(=O)NCCNCc1ccc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,6.9,c1ccc(-c2cccc3c2CCN3c2ncnc3ccccc23)cc1,1,-3.998706102371216,0,0
CC(=O)NCCNCc1ccc2c(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)noc2c1,6.08,c1cc(Nc2noc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.324979782104492,0,0
CC(=O)NCCNCc1ccc2c(c1)C(=O)N(c1cccc(-c3ccccc3)c1C)C2=O,6.23,O=C1c2ccccc2C(=O)N1c1cccc(-c2ccccc2)c1,1,-4.95402717590332,0,0
CC(=O)NCCNCc1ccc2onc(Nc3cccc(-c4ccc5c(c4)OCCO5)c3Cl)c2c1,6.36,c1cc(Nc2noc3ccccc23)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.302947521209717,0,0
CC(=O)NCCNCc1ccc2onc(Nc3cccc(-c4ccccc4)c3Cl)c2c1,6.71,c1ccc(-c2cccc(Nc3noc4ccccc34)c2)cc1,1,-6.108697891235352,0,0
CC(=O)NCCNCc1cccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)c1,6.13,O=C(c1ccccc1)N1CCc2c(-c3ccccc3)cccc21,1,-3.9125454425811768,0,0
CC(=O)NCCNCc1ccnc(NC(=O)c2cccc(-c3ccccc3)c2Cl)c1,6.05,O=C(Nc1ccccn1)c1cccc(-c2ccccc2)c1,1,-4.479677200317383,0,0
CC(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccc5c(c4)OCCO5)cccc32)s1,7.73,O=C(c1nccs1)N1CCc2c(-c3ccc4c(c3)OCCO4)cccc21,1,-3.956064224243164,0,0
CC(=O)NCCNCc1cnc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,7.27,O=C(c1nccs1)N1CCc2c(-c3ccccc3)cccc21,1,-3.659761428833008,0,0
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccc6c(c5)OCCO6)cccc43)ncnc2c1,7.86,c1cc(-c2ccc3c(c2)OCCO3)c2c(c1)N(c1ncnc3cccnc13)CC2,1,-3.953403949737549,0,0
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)nccc2c1,7.07,c1ccc(-c2cccc3c2CCN3c2nccc3cccnc23)cc1,1,-3.9993808269500737,0,0
CC(=O)NCCNCc1cnc2c(N3CCc4c(-c5ccccc5)cccc43)ncnc2c1,8.41,c1ccc(-c2cccc3c2CCN3c2ncnc3cccnc23)cc1,1,-3.8039088249206543,0,0
CC(=O)NCCNCc1ncc(C(=O)N2CCc3c(-c4ccccc4)cccc32)s1,6.18,O=C(c1cncs1)N1CCc2c(-c3ccccc3)cccc21,1,-4.053100109100342,0,0
CC(=O)NCCNc1nc(Cl)nc(OCc2cccc(-c3ccccc3)c2C)n1,6.5,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1,-4.830677032470703,0,0
CC(=O)NCCNc1ncnc(OCc2cccc(-c3ccccc3)c2C)n1,6.94,c1ccc(-c2cccc(COc3ncncn3)c2)cc1,1,-4.367051601409912,0,0
CC(=O)OCOC(=O)C1CCCCN1Cc1cc(Cl)c(OC(F)(F)c2cccc(-c3ccc4c(c3)OCCO4)c2C)cc1OCc1ccnc(C#N)c1,7.54,c1cc(COc2ccc(CN3CCCCC3)c(OCc3ccncc3)c2)cc(-c2ccc3c(c2)OCCO3)c1,1,-6.602056503295898,0,0
CC(=O)c1ccc(C(=O)N2CCC(NC(=O)c3nc(-n4cncn4)c4ccccc4n3)CC2)cc1,7.77,O=C(NC1CCN(C(=O)c2ccccc2)CC1)c1nc(-n2cncn2)c2ccccc2n1,1,-3.4898264408111572,0,0
CC(=O)c1ccc(NC(=O)c2nc(-n3ccnc3)c3ccccc3n2)cc1,7.08,O=C(Nc1ccccc1)c1nc(-n2ccnc2)c2ccccc2n1,1,-4.026083946228027,0,0
CC(C(=O)O)N1CCc2nc(OCc3cccc(-c4ccccc4F)c3Cl)ccc2C1,7.5,c1ccc(-c2cccc(COc3ccc4c(n3)CCNC4)c2)cc1,1,-5.159393787384033,0,0
CC(C)(C)OCC(NCc1cc(Cl)c(OCc2cccc(-c3ccccc3)c2Cl)cc1OCc1ccc2nonc2c1)C(=O)NC(CO)C(=O)O,6.41,c1ccc(-c2cccc(COc3cccc(OCc4ccc5nonc5c4)c3)c2)cc1,1,-6.428605556488037,0,0
CC(C)(CO)NCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1ccnc(C#N)c1,6.64,O=C(c1cccc(OCc2ccncc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-6.649351119995117,0,0
CC(C)(CO)NCc1ccc(C(=O)N2CCc3c(-c4ccccc4)cccc32)cc1OCc1cncc(C#N)c1,6.94,O=C(c1cccc(OCc2cccnc2)c1)N1CCc2c(-c3ccccc3)cccc21,1,-6.57728910446167,0,0
CC(C)(CO)NCc1cnc2c(N3CCc4c(-c5ccc6c(c5)OCCO6)cccc43)ncnc2c1,7.85,c1cc(-c2ccc3c(c2)OCCO3)c2c(c1)N(c1ncnc3cccnc13)CC2,1,-4.230262756347656,0,0
