smiles,pic50,pic50_mean,pic50_max,pic50_min,n_measurements,pic50_spread,high_conflict
C#CCN(c1c(F)cc(C#N)cc1F)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
C#CCN(c1ccc(C#N)cc1)C1CCN(c2ncnc3[nH]ccc23)C1,10.26,10.26,10.26,10.26,2,0.0,False
CC(C)CS(=O)(=O)N1CCCC(Nc2ncncc2-c2cnc3[nH]ccc3n2)C1,10.24,10.24,10.24,10.24,1,0.0,False
O=C(Nc1c[nH]nc1-c1cc(Cl)c(O)cc1OC(F)F)c1cnn2cccnc12,10.24,10.24,10.24,10.24,1,0.0,False
CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)C1,10.23,10.23,10.23,10.23,1,0.0,False
O=C(Nc1c[nH]nc1-c1cc2c(cc1OC(F)F)NCCS2)c1cnn2cccnc12,10.22,10.22,10.22,10.22,1,0.0,False
O=C1COc2cc(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)c(OC(F)F)cc2N1,10.22,10.22,10.22,10.22,1,0.0,False
CN1CCN(CCCN2CCC(n3cc(NC(=O)c4c(N)nn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)C1=O,10.22,10.22,10.22,10.22,2,0.0,False
CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CN(C)C(C(=O)N3CCN(C(C)C)CC3)C4)n[nH]c2c1,10.22,10.22,10.22,10.22,4,0.0,False
Cn1nnnc1Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc3c(cc2OC(F)F)NCCS3)n1,10.22,10.22,10.22,10.22,1,0.0,False
N#CCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc3c(cc2OC(F)F)NCCS3)n1,10.22,10.22,10.22,10.22,1,0.0,False
CC(C)NC(C)(C)c1ccc(Nc2nn(C3(CC#N)CCCCC3F)c3cc[nH]c(=O)c23)cc1,10.22,10.22,10.22,10.22,1,0.0,False
Cc1cc2cc(OC(F)F)c(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)cc2s1,10.22,10.22,10.22,10.22,1,0.0,False
CC(C)OC(=O)C1CCC(CC#N)(n2nc(Nc3ccc4c(c3)CN(C(C)(C)C)S4(=O)=O)c3c(=O)[nH]ccc32)CO1,10.22,10.22,10.22,10.22,1,0.0,False
Nc1nc2c(C(=O)Nc3c[nH]nc3-c3cc(Cl)ccc3OC(F)F)cncc2s1,10.22,10.22,10.22,10.22,1,0.0,False
CC1CSc2cc(-c3n[nH]cc3NC(=O)c3cnn4cccnc34)c(OC(F)F)cc2N1,10.22,10.22,10.22,10.22,1,0.0,False
O=C(Nc1c[nH]nc1-c1cc2sncc2cc1OC(F)F)c1cnn2cccnc12,10.22,10.22,10.22,10.22,1,0.0,False
CC(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,10.215,10.215,10.4,10.03,2,0.370000000000001,False
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)N2Cc3ccccc3C(F)(F)C2)C1,10.21,10.21,10.21,10.21,1,0.0,False
CCCN1Cc2[nH]c(-c3n[nH]c4cc(-c5ccc(O)cc5CC)ccc34)nc2CC1C(=O)N1CC2CC1CN2C,10.2,10.2,10.2,10.2,2,0.0,False
CC(C)CS(=O)(=O)N1CCCC(Nc2nc(S(C)(=O)=O)ncc2-c2cnc3[nH]ccc3n2)C1,10.19,10.19,10.19,10.19,1,0.0,False
CN(c1ncnc2[nH]ccc12)C1CC(CS(=O)(=O)c2cccc(F)c2)C1,10.19,10.19,10.19,10.19,1,0.0,False
CCNC(c1ccc(Nc2nn(C3(CC#N)CCCCC3F)c3cc[nH]c(=O)c23)cc1)C(F)(F)F,10.185,10.185,10.22,10.15,2,0.07000000000000028,False
CS(=O)(=O)N1CCCC(Nc2nc(NCCO)ncc2-c2cnc3[nH]ccc3n2)C1,10.18,10.18,10.18,10.18,1,0.0,False
