smiles,pic50,scaffold,n_measurements
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,5.850165303284215,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1
C/C=C/C(=O)Nc1ccc(-c2ccnc(Nc3cnn(CCOC)c3)n2)cc1,5.703115524461452,c1ccc(-c2ccnc(Nc3cn[nH]c3)n2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)c1,5.671824338561677,c1ccc(-c2cc(Nc3ccc(N4CCOCC4)cc3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(C)c3)ncn2)c1,5.558933593360736,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CC(=O)NC)c3)ncn2)c1,5.95506845385084,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCN(C)C)c3)ncn2)c1,5.72445831159869,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCO)c3)ncn2)c1,5.551602896542232,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.58838029403677,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,5.554707230574028,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,1
C/C=C/C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.316052869248487,c1ccc(-c2ncnc3[nH]ccc23)cc1,1
C/C=C/C(=O)Nc1cccc(CNc2c(C(N)=O)cnn3cccc23)c1,5.698970004336019,c1ccc(CNc2ccnn3cccc23)cc1,1
C/C=C/CCNc1nc(Nc2cnn(C(C)(C)C)c2)ncc1C(N)=O,8.698970004336019,c1cnc(Nc2cn[nH]c2)nc1,1
C/C=C/S(=O)(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,c1ccc(-c2ncnc3[nH]ccc23)cc1,1
C/C=C/c1ccccc1Nc1nc(Nc2cnn(C)c2)ncc1C(N)=O,8.679853713888946,c1ccc(Nc2ccnc(Nc3cn[nH]c3)n2)cc1,1
C/C=C\C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,5.825068406471558,c1ccc(-c2ncnc3[nH]ccc23)cc1,1
C1=C(c2ncnc3[nH]ccc23)CCCC1,6.779891911959945,C1=C(c2ncnc3[nH]ccc23)CCCC1,1
C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,7.045757490560675,C1=C/CN(C2CC2)Cc2cccc(c2)Nc2nccc(n2)-c2cccc(c2)OCC/1,1
