smiles,pic50,scaffold,n_measurements
C=CC(=O)N1CCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.14,c1ncc2c(-c3cc[nH]n3)nn(C3CCNC3)c2n1,1
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,7.34,c1ncc2c(-c3cc[nH]n3)nn(C3CCNC3)c2n1,1
C=CC(=O)N1CCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)CC1,6.19,c1ncc2c(-c3cc[nH]n3)nn(C3CCNCC3)c2n1,1
C=CC(=O)N1CCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,8.01,c1ncc2c(-c3cc[nH]n3)nn(C3CCNC3)c2n1,1
C=CC(=O)N1CCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.3,c1ncc2c(-c3cn[nH]c3)nn(C3CCNC3)c2n1,1
C=CC(=O)N1CCC(n2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,6.29,c1ncc2c(-c3cn[nH]c3)nn(C3CCNC3)c2n1,1
C=CC(=O)N1CCC(n2nc(Br)c3c(N)ncnc32)CC1,7.21,c1ncc2cnn(C3CCNCC3)c2n1,1
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.09,c1ncc2c(-c3cn[nH]c3)nn(CC3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(Cn2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,5.85,c1ncc2c(-c3cn[nH]c3)nn(CC3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(Cn2nc(Br)c3c(N)ncnc32)C1,7.14,c1ncc2cnn(CC3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(N2NC(c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.19,c1ncc2c(n1)N(C1CCCNC1)NC2c1cc[nH]n1,1
C=CC(=O)N1CCCC(n2nc(-c3cc(C(C)(C)O)n(C)n3)c3c(N)ncnc32)C1,8.19,c1ncc2c(-c3cc[nH]n3)nn(C3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(n2nc(-c3cc(C)n(C)n3)c3c(N)ncnc32)C1,7.24,c1ncc2c(-c3cc[nH]n3)nn(C3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(n2nc(-c3cc(C=O)n(C)n3)c3c(N)ncnc32)C1,7.94,c1ncc2c(-c3cc[nH]n3)nn(C3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(n2nc(-c3cnn(C)c3)c3c(N)ncnc32)C1,6.4,c1ncc2c(-c3cn[nH]c3)nn(C3CCCNC3)c2n1,1
C=CC(=O)N1CCCC(n2nc(-c3cnn(CCOC)c3)c3c(N)ncnc32)C1,6.23,c1ncc2c(-c3cn[nH]c3)nn(C3CCCNC3)c2n1,1
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CC1,6.18,C1=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCC1,1
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCC1,6.06,C1=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCCC1,1
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCC1,6.35,C1=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCCC1,1
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4cccs4)c23)CCC1,6.31,C1=C(c2ncnc3[nH]cc(-c4cccs4)c23)CCCC1,1
C=CC(=O)NC1C=C(c2ncnc3[nH]cc(-c4ccsc4)c23)CCC1,5.92,C1=C(c2ncnc3[nH]cc(-c4ccsc4)c23)CCCC1,1
C=CC(=O)NC1CC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,6.06,C1=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCC1,1
C=CC(=O)NC1CC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1,6.37,C1=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCC1,1
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccccc4)c23)C1,6.33,C1=C(c2ncnc3[nH]cc(-c4ccccc4)c23)CCCC1,1
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccco4)c23)C1,6.37,C1=C(c2ncnc3[nH]cc(-c4ccco4)c23)CCCC1,1
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4cccs4)c23)C1,6.32,C1=C(c2ncnc3[nH]cc(-c4cccs4)c23)CCCC1,1
C=CC(=O)NC1CCC=C(c2ncnc3[nH]cc(-c4ccsc4)c23)C1,6.07,C1=C(c2ncnc3[nH]cc(-c4ccsc4)c23)CCCC1,1
C=CC(=O)NCC(=O)Nc1cccc(-c2cc(Nc3cnn(CCOC)c3)ncn2)c1,5.81,c1ccc(-c2cc(Nc3cn[nH]c3)ncn2)cc1,1
C=CC(=O)NCc1ccc(Nc2ncc(C)c(-c3cnn(C(C)C)c3)n2)cc1,7.355,c1ccc(Nc2nccc(-c3cn[nH]c3)n2)cc1,2
