SMILES,Comment,RDKit_SMILES (REINVENT),Score,PD1PDL1Sol_raw,PD1PDL1Sol_raw (raw)
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CCCC5O)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CCCC5O)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.46233394742012024,0.46233395,0.46233395,-6.091667
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(O)C1,0.4443829357624054,0.44438294,0.44438294,-6.366497
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(C)(O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNCC5CCC(=O)N5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CC(C)(O)C1,0.4368170499801636,0.43681705,0.43681705,-6.482331
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCCC(C)(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(C(=O)O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCCC(C)(C(=O)O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(C(=O)O)C1,0.4618085026741028,0.4618085,0.4618085,-6.099712
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(NC(C)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(NC(C)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(O)C1,0.5293715000152588,0.5293715,0.5293715,-5.065322
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(CNC(=O)C6)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC6(CNC(=O)C6)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5371220111846924,0.537122,0.537122,-4.9466624
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)ccc1CNCC1CCC(=O)N1,0.4533862769603729,0.45338628,0.45338628,-6.2286563
COc1nc(-c2cccc(-c3cccc(-c4cnc(C5=NCCN5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCCC(N)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(C5=NCCN5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCCC(N)C1,0.4932379126548767,0.4932379,0.4932379,-5.6185274
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(CO)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNC1CCCC1O,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(CO)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNC1CCCC1O,0.4539768099784851,0.4539768,0.4539768,-6.219615
COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CCNCC5)c(OC)n4)c3Cl)c2Cl)ccc1CNCC1CNC(=O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CNC5CCNCC5)c(OC)n4)c3Cl)c2Cl)ccc1CNCC1CNC(=O)C1,0.46397435665130615,0.46397436,0.46397436,-6.0665526
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(C(N)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(C(N)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5435468554496765,0.54354686,0.54354686,-4.848298
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(NC(C)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(NC(C)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1CCC(=O)N1,0.5383708477020264,0.53837085,0.53837085,-4.927542
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(OC)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CCC(C)(O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CC(OC)C1,0.4575839042663574,0.4575839,0.4575839,-6.1643906
COc1nc(-c2cccc(-c3cccc(-c4cnc(C5=NCCN5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1NC(=O)CCS1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(C5=NCCN5)c(OC)n4)c3Cl)c2Cl)cnc1CNCC1NC(=O)CCS1,0.5056632161140442,0.5056632,0.5056632,-5.4282966
COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(NS(C)(=O)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC(O)C1,,COc1nc(-c2cccc(-c3cccc(-c4cnc(CN5CC(NS(C)(=O)=O)C5)c(OC)n4)c3Cl)c2Cl)cnc1CN1CCC(O)C1,0.5531134605407715,0.55311346,0.55311346,-4.701833
COc1nc(-c2cccc(-c3cccc4c3CCC4Oc3nc(OC)c(CNCCNC(C)=O)cc3Cl)c2Cl)ccc1CNCC1CCC(=O)N1,,COc1nc(-c2cccc(-c3cccc4c3CCC4Oc3nc(OC)c(CNCCNC(C)=O)cc3Cl)c2Cl)ccc1CNCC1CCC(=O)N1,0.4618067145347595,0.4618067,0.4618067,-6.099739
